Archivo;Cara;Ojo;Pupila;Blanco;Negro;Rojo;Amarillo;Flash;Positivo;Detalles;Altura de cara
\Pos24,jpg;99;99;2;0;1;0;0;true;false;seleccion manual;
\Pos25,jpg;1;1;1;0,666666667;0,333333333;0;0;true;true;;272
\Pos25,jpg;1;2;1;0,00678733;0,99321267;0;0;true;false;iris;272
\Pos25,jpg;99;99;1;0,018691589;0,981308411;0;0;true;false;seleccion manual;272
\Pos26,jpg;1;3;1;0,054545455;0,945454545;0;0;true;true;iris;252
\Pos26,jpg;1;4;1;0,020895522;0,979104478;0;0;true;false;mayor;252
\Pos26,jpg;99;99;1;0,1875;0,8125;0;0;true;true;seleccion manual;252
\Pos26,jpg;99;99;2;0,057142857;0,942857143;0;0;true;false;seleccion manual;252
\Pos27,jpg;99;99;1;1;0;0;0;true;true;seleccion manual;
\Pos27,jpg;99;99;2;0;0,03125;0,96875;0;true;false;seleccion manual;
\Pos28,jpg;1;1;1;0,996078431;0;0,003921569;0;true;true;;617
\Pos28,jpg;1;2;1;0,069506726;0,006726457;0,923766816;0;true;false;;617
\Pos29,jpg;99;99;1;0,054054054;0;0,945945946;0;true;false;seleccion manual;
\Pos29,jpg;99;99;2;0,9375;0;0;0,0625;true;true;seleccion manual;
\Pos30,JPG;1;1;1;0,925233645;0;0;0,074766355;true;true;;1266
\Pos30,JPG;1;2;1;0,02890933;0;0,97109067;0;true;false;;1266
\Neg1,jpg;3;1;1;0;0,347826087;0,652173913;0;true;false;invalido;217
\Neg1,jpg;3;2;1;0;0,03960396;0,96039604;0;true;false;;217
\Neg1,jpg;99;99;1;0;0;1;0;true;false;seleccion manual;217
\Neg2,jpg;1;1;1;0,007246377;0,543478261;0,449275362;0;true;false;parcial;280
\Neg2,jpg;1;2;1;0,014492754;0,405797101;0,579710145;0;true;false;mayor;280
\Neg2,jpg;1;3;1;NaN;NaN;NaN;NaN;true;false;falso ojo;280
\Neg2,jpg;99;99;1;0,013888889;0,027777778;0,958333333;0;true;false;seleccion manual;280
\Neg2,jpg;99;99;2;0,013888889;0;0,986111111;0;true;false;seleccion manual;280
\Neg3,png;1;1;1;0;0;1;0;true;false;;211
\Neg3,png;1;2;1;0,008928571;0;0,991071429;0;true;false;mayor;211
\Neg3,png;99;99;1;0,018518519;0;0,981481481;0;true;false;seleccion manual;211
\Neg4,jpg;1;1;1;0,007898894;0,992101106;0;0;true;false;;794
\Neg4,jpg;1;2;1;0,004175365;0,995824635;0;0;true;false;iris;794
\Neg4,jpg;1;3;1;NaN;NaN;NaN;NaN;true;false;falso ojo;794
\Neg4,jpg;99;99;1;0,009360374;0,990639626;0;0;true;false;seleccion manual;794
\Neg5,jpg;1;1;1;0;0,818965517;0,181034483;0;false;false;parcial;355
\Neg5,jpg;1;2;1;0;0,684210526;0,315789474;0;false;false;mayor;355
\Neg5,jpg;1;4;1;0;0,071428571;0,928571429;0;false;false;falso ojo;355
\Neg5,jpg;1;5;1;0;0,167487685;0,832512315;0;false;false;falso ojo;355
\Neg5,jpg;1;6;1;0;0,013793103;0,986206897;0;false;false;falso ojo;355
\Neg5,jpg;1;7;1;0;1;0;0;false;false;falso ojo;355
\Neg5,jpg;2;1;1;0;0,989208633;0,010791367;0;false;false;;372
\Neg5,jpg;2;2;1;0,090909091;0,681818182;0,227272727;0;false;false;invalido;
\Neg5,jpg;99;99;1;0;0,941747573;0,058252427;0;false;false;seleccion manual;
\Neg5,jpg;99;99;2;0;0,902255639;0,097744361;0;false;false;seleccion manual;
\Neg5,jpg;99;99;3;0;0,968181818;0,031818182;0;false;false;seleccion manual;
\Neg6,jpg;1;1;1;0,037593985;0,906015038;0,056390977;0;false;false;iris;366
