Archivo,Cara,Ojo,Pupila,Blanco,Negro,Rojo,Amarillo,Flash,Positivo
"\Pos20.jpg","4","3","1","1.0","0.0","0.0","0.0","true","true","iris"
"\Pos20.jpg","5","1","1","0.17073170731707318","0.0","0.8292682926829268","0.0","true","false",
"\Pos20.jpg","5","2","1","0.15454545454545454","0.0","0.8454545454545455","0.0","true","false",
"\Pos20.jpg","99","99","1","0.02830188679245283","0.0","0.9716981132075472","0.0","true","false","seleccion manual"
"\Pos20.jpg","99","99","2","0.008064516129032258","0.0","0.9919354838709677","0.0","true","false","seleccion manual"
"\Pos20.jpg","99","99","3","1.0","0.0","0.0","0.0","true","false","seleccion manual"
"\Pos21.jpg","1","1","1","1.0","0.0","0.0","0.0","true","false","invalido"
"\Pos21.jpg","1","2","1","0.0","0.0","1.0","0.0","true","false","parcial"
"\Pos21.jpg","2","1","1","NaN","NaN","NaN","NaN","true","true","invalido"
"\Pos21.jpg","2","2","1","0.0","0.0","1.0","0.0","true","false","parcial"
"\Pos21.jpg","99","99","1","0.16666666666666666","0.0","0.8333333333333334","0.0","true","false","seleccion manual"
"\Pos21.jpg","99","99","2","0.0","0.25","0.75","0.0","true","false","seleccion manual"
"\Pos21.jpg","99","99","3","0.0","1.0","0.0","0.0","true","true","seleccion manual"
"\Pos21.jpg","99","99","4","0.0","0.0","1.0","0.0","true","false","seleccion manual"
"\Pos22.jpg","1","1","1","0.005128205128205128","0.9923076923076923","0.0","0.002564102564102564","true","false","mayor"
"\Pos22.jpg","1","2","1","0.5833333333333334","0.4166666666666667","0.0","0.0","true","true",
"\Pos22.jpg","99","99","1","0.019417475728155338","0.9805825242718447","0.0","0.0","true","false","seleccion manual"
"\Pos23.jpg","2","1","1","0.061855670103092786","0.7628865979381443","0.17525773195876287","0.0","true","false","mayor"
"\Pos23.jpg","2","2","1","0.02","0.72","0.26","0.0","true","true","parcial"
"\Pos23.jpg","99","99","1","0.07317073170731707","0.6341463414634146","0.2926829268292683","0.0","true","false","seleccion manual"
"\Pos23.jpg","99","99","2","0.1896551724137931","0.4827586206896552","0.3275862068965517","0.0","true","true","seleccion manual"
"\Pos24.jpg","99","99","1","1.0","0.0","0.0","0.0","true","true","seleccion manual"
"\Pos24.jpg","99","99","2","0.0","1.0","0.0","0.0","true","false","seleccion manual"
"\Pos25.jpg","1","1","1","0.6666666666666666","0.3333333333333333","0.0","0.0","true","true",
"\Pos25.jpg","1","2","1","0.006787330316742082","0.9932126696832579","0.0","0.0","true","false","iris"
"\Pos25.jpg","99","99","1","0.018691588785046728","0.9813084112149533","0.0","0.0","true","false","seleccion manual"
"\Pos26.jpg","1","3","1","0.05454545454545454","0.9454545454545454","0.0","0.0","true","true","iris"
"\Pos26.jpg","1","4","1","0.020895522388059702","0.9791044776119403","0.0","0.0","true","false","mayor"
"\Pos26.jpg","99","99","1","0.1875","0.8125","0.0","0.0","true","true","seleccion manual"
"\Pos26.jpg","99","99","2","0.05714285714285714","0.9428571428571428","0.0","0.0","true","false","seleccion manual"
